date,revenue,units_sold,product,region
2026-02-17,45.11,1,Starter Plan,EMEA
2026-02-17,50.36,2,Add-on Seats,North America
2026-02-17,356.25,1,Enterprise Plan,North America
2026-02-17,45.87,2,Add-on Seats,EMEA
2026-02-17,688.15,2,Enterprise Plan,EMEA
2026-02-17,417.26,3,Growth Plan,North America
2026-02-17,47.81,1,Starter Plan,North America
2026-02-17,625.92,2,Enterprise Plan,North America
2026-02-17,162.9,1,Growth Plan,EMEA
2026-02-17,48.23,1,Starter Plan,EMEA
2026-02-17,94.64,2,Starter Plan,EMEA
2026-02-17,48.69,2,Add-on Seats,North America
2026-02-17,47.18,1,Starter Plan,EMEA
2026-02-17,87.62,2,Starter Plan,North America
2026-02-17,46.73,1,Starter Plan,EMEA
2026-02-17,48.64,2,Add-on Seats,North America
2026-02-17,97.48,2,Starter Plan,North America
2026-02-17,151.42,1,Growth Plan,APAC
2026-02-17,23.76,1,Add-on Seats,North America
2026-02-17,90.71,2,Starter Plan,North America
2026-02-17,143.55,1,Growth Plan,EMEA
2026-02-17,96.53,2,Starter Plan,EMEA
2026-02-17,25.23,1,Add-on Seats,North America
2026-02-17,24.53,1,Add-on Seats,EMEA
2026-02-17,48.87,1,Starter Plan,EMEA
2026-02-17,49.43,1,Starter Plan,APAC
2026-02-17,55.44,2,Add-on Seats,EMEA
2026-02-17,282.71,2,Growth Plan,North America
2026-02-17,149.89,1,Growth Plan,North America
2026-02-17,90.33,2,Starter Plan,North America
2026-02-18,102.16,2,Starter Plan,EMEA
2026-02-18,129.77,1,Growth Plan,EMEA
2026-02-18,45.55,2,Add-on Seats,APAC
2026-02-18,49.09,1,Starter Plan,North America
2026-02-18,50.16,1,Starter Plan,EMEA
2026-02-18,651.75,2,Enterprise Plan,North America
2026-02-18,275.18,2,Growth Plan,EMEA
2026-02-18,89.05,2,Starter Plan,North America
2026-02-18,114.19,2,Starter Plan,North America
2026-02-18,25.04,1,Add-on Seats,EMEA
2026-02-18,695.32,2,Enterprise Plan,North America
2026-02-18,698.74,2,Enterprise Plan,North America
2026-02-18,110.55,1,Growth Plan,North America
2026-02-18,287.94,2,Growth Plan,APAC
2026-02-18,355.44,1,Enterprise Plan,North America
2026-02-18,365.14,1,Enterprise Plan,North America
2026-02-18,678.93,2,Enterprise Plan,EMEA
2026-02-18,107.52,2,Starter Plan,North America
2026-02-18,81.54,2,Starter Plan,EMEA
2026-02-18,91.63,2,Starter Plan,North America
2026-02-18,132.9,1,Growth Plan,North America
2026-02-18,147.5,1,Growth Plan,APAC
2026-02-18,148.8,1,Growth Plan,EMEA
2026-02-18,27.59,1,Add-on Seats,North America
2026-02-18,47.35,2,Add-on Seats,EMEA
2026-02-18,54.05,1,Starter Plan,North America
2026-02-18,55.64,1,Starter Plan,North America
2026-02-18,55.78,2,Add-on Seats,APAC
2026-02-18,300.67,1,Enterprise Plan,EMEA
2026-02-18,280.84,2,Growth Plan,North America
2026-02-18,136.17,1,Growth Plan,North America
2026-02-18,50.28,1,Starter Plan,EMEA
2026-02-18,156.95,1,Growth Plan,APAC
2026-02-19,658.61,2,Enterprise Plan,North America
2026-02-19,96.07,2,Starter Plan,North America
2026-02-19,137.92,1,Growth Plan,EMEA
2026-02-19,48.47,1,Starter Plan,APAC
2026-02-19,44.91,1,Starter Plan,North America
2026-02-19,49.44,1,Starter Plan,North America
2026-02-19,74.23,3,Add-on Seats,APAC
2026-02-19,85.99,2,Starter Plan,North America
2026-02-19,45.9,1,Starter Plan,North America
2026-02-19,356.96,1,Enterprise Plan,North America
2026-02-19,336.2,2,Growth Plan,EMEA
